method,run,overlap,time
ASDETECT,1,NaN,127.10856530442834
ASDETECT,2,NaN,126.91728914901614
ASDETECT,3,NaN,126.8874382339418
ASDETECT,4,NaN,126.85166496783495
ASDETECT,5,NaN,127.03488584794104
ASDETECT,6,NaN,127.06270600482821
ASDETECT,7,NaN,126.84080193005502
ASDETECT,8,NaN,126.89921944215894
ASDETECT,9,NaN,127.0123282931745
ASDETECT,10,NaN,126.96340390481055
ASSWDETECT,1,0.0,125.86262937821448
ASSWDETECT,2,0.0,125.94715464115143
ASSWDETECT,3,0.0,125.75448682531714
ASSWDETECT,4,0.0,125.92395385541022
ASSWDETECT,5,0.0,125.94580304808915
ASSWDETECT,6,0.0,125.89461341686547
ASSWDETECT,7,0.0,125.87928006239235
ASSWDETECT,8,0.0,126.05284529365599
ASSWDETECT,9,0.0,125.85761355422437
ASSWDETECT,10,0.0,125.81106285564601
ASSWDETECT_DOUBLE,1,0.0,252.9953261781484
ASSWDETECT_DOUBLE,2,0.0,252.80444477312267
ASSWDETECT_DOUBLE,3,0.0,252.89732229337096
ASSWDETECT_DOUBLE,4,0.0,252.736848032102
ASSWDETECT_DOUBLE,5,0.0,252.70036827400327
ASSWDETECT_DOUBLE,6,0.0,253.12836500629783
ASSWDETECT_DOUBLE,7,0.0,252.56040916778147
ASSWDETECT_DOUBLE,8,0.0,252.81180846318603
ASSWDETECT_DOUBLE,9,0.0,253.14404007606208
ASSWDETECT_DOUBLE,10,0.0,252.80749096162617
ASSWDETECT,1,0.25,159.14738236367702
ASSWDETECT,2,0.25,158.87520990520716
ASSWDETECT,3,0.25,159.0117461271584
ASSWDETECT,4,0.25,159.31327311880887
ASSWDETECT,5,0.25,158.98290884681046
ASSWDETECT,6,0.25,159.38921139203012
ASSWDETECT,7,0.25,159.0022971406579
ASSWDETECT,8,0.25,158.8760367911309
ASSWDETECT,9,0.25,159.06551793403924
ASSWDETECT,10,0.25,159.14961622096598
ASSWDETECT_DOUBLE,1,0.25,317.4035251662135
ASSWDETECT_DOUBLE,2,0.25,317.0158879365772
ASSWDETECT_DOUBLE,3,0.25,317.365937538445
ASSWDETECT_DOUBLE,4,0.25,317.4196999631822
ASSWDETECT_DOUBLE,5,0.25,317.37047697231174
ASSWDETECT_DOUBLE,6,0.25,317.40232263319194
ASSWDETECT_DOUBLE,7,0.25,316.9991125240922
ASSWDETECT_DOUBLE,8,0.25,317.24148676358163
ASSWDETECT_DOUBLE,9,0.25,317.14888436719775
ASSWDETECT_DOUBLE,10,0.25,316.95577668212354
ASSWDETECT,1,0.5,232.41105128265917
ASSWDETECT,2,0.5,232.44293200410903
ASSWDETECT,3,0.5,232.26683844067156
ASSWDETECT,4,0.5,232.0430875364691
ASSWDETECT,5,0.5,232.14359970018268
ASSWDETECT,6,0.5,232.22679679095745
ASSWDETECT,7,0.5,232.10123540088534
ASSWDETECT,8,0.5,232.27670082263649
ASSWDETECT,9,0.5,232.38895817659795
ASSWDETECT,10,0.5,232.09310145489872
ASSWDETECT_DOUBLE,1,0.5,463.09708332270384
ASSWDETECT_DOUBLE,2,0.5,463.216475000605
ASSWDETECT_DOUBLE,3,0.5,462.7606339994818
ASSWDETECT_DOUBLE,4,0.5,462.75205045193434
ASSWDETECT_DOUBLE,5,0.5,463.0552937351167
ASSWDETECT_DOUBLE,6,0.5,460.6013763118535
ASSWDETECT_DOUBLE,7,0.5,461.12872587889433
ASSWDETECT_DOUBLE,8,0.5,461.0390252340585
ASSWDETECT_DOUBLE,9,0.5,460.9585683122277
ASSWDETECT_DOUBLE,10,0.5,460.9030006304383
ASSWDETECT,1,0.75,425.2469859160483
ASSWDETECT,2,0.75,425.5740349087864
ASSWDETECT,3,0.75,425.4422632511705
ASSWDETECT,4,0.75,425.21554307080805
ASSWDETECT,5,0.75,424.8345723915845
ASSWDETECT,6,0.75,425.072814386338
ASSWDETECT,7,0.75,425.65885477513075
ASSWDETECT,8,0.75,425.1840291749686
ASSWDETECT,9,0.75,425.6030842605978
ASSWDETECT,10,0.75,425.7249541133642
ASSWDETECT_DOUBLE,1,0.75,847.4014563355595
ASSWDETECT_DOUBLE,2,0.75,847.8015767913312
ASSWDETECT_DOUBLE,3,0.75,847.5776706393808
ASSWDETECT_DOUBLE,4,0.75,848.1946908086538
ASSWDETECT_DOUBLE,5,0.75,847.7296918649226
ASSWDETECT_DOUBLE,6,0.75,847.458964901045
ASSWDETECT_DOUBLE,7,0.75,848.2951867133379
ASSWDETECT_DOUBLE,8,0.75,847.2045388929546
ASSWDETECT_DOUBLE,9,0.75,847.6748564150184
ASSWDETECT_DOUBLE,10,0.75,848.0869063399732

